ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
PTPRR	protein tyrosine phosphatase receptor type R(PTPRR)	Homo sapiens	GO:0001701~in utero embryonic development,GO:0006470~protein dephosphorylation,GO:0007165~signal transduction,GO:0010633~negative regulation of epithelial cell migration,GO:0035335~peptidyl-tyrosine dephosphorylation,GO:0038128~ERBB2 signaling pathway,GO:0070373~negative regulation of ERK1 and ERK2 cascade,	GO:0005615~extracellular space,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0048471~perinuclear region of cytoplasm,	GO:0004725~protein tyrosine phosphatase activity,GO:0005001~transmembrane receptor protein tyrosine phosphatase activity,GO:0005515~protein binding,GO:0019901~protein kinase binding,	IPR000242:Protein-tyrosine phosphatase, receptor/non-receptor type,IPR000387:Protein-tyrosine/Dual specificity phosphatase,IPR003595:Protein-tyrosine phosphatase, catalytic,IPR008356:Protein-tyrosine phosphatase, KIM-containing,IPR016130:Protein-tyrosine phosphatase, active site,IPR016334:Protein-tyrosine phosphatase, receptor type R/non-receptor type 5,	hsa04010:MAPK signaling pathway,		PIRSF001997:receptor tyrosine-protein phosphatase, types R/5,	SM00194:PTPc,SM00404:PTPc_motif,		KW-0472~Membrane,KW-0963~Cytoplasm,KW-1003~Cell membrane,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0378~Hydrolase,KW-0675~Receptor,KW-0904~Protein phosphatase,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,	ACT_SITE:Phosphocysteine intermediate,CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:TYR_PHOSPHATASE_2,DOMAIN:Tyrosine-protein phosphatase,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
PTPRT	protein tyrosine phosphatase receptor type T(PTPRT)	Homo sapiens	GO:0006470~protein dephosphorylation,GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007165~signal transduction,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0030336~negative regulation of cell migration,GO:0035335~peptidyl-tyrosine dephosphorylation,GO:0050807~regulation of synapse organization,GO:0071354~cellular response to interleukin-6,GO:1904893~negative regulation of STAT cascade,GO:1990264~peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0098978~glutamatergic synapse,GO:0099061~integral component of postsynaptic density membrane,	GO:0004725~protein tyrosine phosphatase activity,GO:0005001~transmembrane receptor protein tyrosine phosphatase activity,GO:0005515~protein binding,GO:0008013~beta-catenin binding,GO:0016790~thiolester hydrolase activity,GO:0019903~protein phosphatase binding,GO:0042803~protein homodimerization activity,GO:0045294~alpha-catenin binding,GO:0045295~gamma-catenin binding,GO:0045296~cadherin binding,GO:0051393~alpha-actinin binding,GO:0070097~delta-catenin binding,GO:0097677~STAT family protein binding,	IPR000242:Protein-tyrosine phosphatase, receptor/non-receptor type,IPR000387:Protein-tyrosine/Dual specificity phosphatase,IPR000998:MAM domain,IPR003595:Protein-tyrosine phosphatase, catalytic,IPR003961:Fibronectin, type III,IPR007110:Immunoglobulin-like domain,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR013783:Immunoglobulin-like fold,IPR016130:Protein-tyrosine phosphatase, active site,				SM00060:FN3,SM00137:MAM,SM00194:PTPc,SM00404:PTPc_motif,		KW-0472~Membrane,		KW-0393~Immunoglobulin domain,KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0378~Hydrolase,KW-0675~Receptor,KW-0904~Protein phosphatase,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	ACT_SITE:Phosphocysteine intermediate,CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:Fibronectin type-III,DOMAIN:Fibronectin type-III 1,DOMAIN:Fibronectin type-III 2,DOMAIN:Fibronectin type-III 3,DOMAIN:Fibronectin type-III 4,DOMAIN:Ig-like,DOMAIN:Ig-like C2-type,DOMAIN:MAM,DOMAIN:TYR_PHOSPHATASE_2,DOMAIN:Tyrosine-protein phosphatase,DOMAIN:Tyrosine-protein phosphatase 1,DOMAIN:Tyrosine-protein phosphatase 2,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
PLP2	proteolipid protein 2(PLP2)	Homo sapiens	GO:0006811~ion transport,GO:0006935~chemotaxis,GO:0019221~cytokine-mediated signaling pathway,GO:0034220~ion transmembrane transport,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0005515~protein binding,GO:0015075~ion transmembrane transporter activity,GO:0019956~chemokine binding,	IPR008253:Marvel,						KW-0472~Membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:MARVEL,TRANSMEM:Helical,
PCDH7	protocadherin 7(PCDH7)	Homo sapiens	GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0031092~platelet alpha granule membrane,	GO:0005509~calcium ion binding,	IPR002126:Cadherin,IPR013164:Cadherin, N-terminal,IPR013585:Protocadherin,IPR015919:Cadherin-like,IPR020894:Cadherin conserved site,				SM00112:CA,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,		KW-0325~Glycoprotein,KW-0597~Phosphoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Cadherin 1,DOMAIN:Cadherin 2,DOMAIN:Cadherin 3,DOMAIN:Cadherin 4,DOMAIN:Cadherin 5,DOMAIN:Cadherin 6,DOMAIN:Cadherin 7,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
PCDHA7	protocadherin alpha 7(PCDHA7)	Homo sapiens	GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007399~nervous system development,GO:0009988~cell-cell recognition,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,	GO:0005509~calcium ion binding,GO:0042802~identical protein binding,	IPR002126:Cadherin,IPR013164:Cadherin, N-terminal,IPR015919:Cadherin-like,IPR020894:Cadherin conserved site,				SM00112:CA,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,KW-0479~Metal-binding,		KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Cadherin 1,DOMAIN:Cadherin 2,DOMAIN:Cadherin 3,DOMAIN:Cadherin 4,DOMAIN:Cadherin 5,DOMAIN:Cadherin 6,REGION:5 X 4 AA repeats of P-X-X-P,REGION:Disordered,REPEAT:PXXP 1,REPEAT:PXXP 2,REPEAT:PXXP 3,REPEAT:PXXP 4,REPEAT:PXXP 5,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
PCDHA8	protocadherin alpha 8(PCDHA8)	Homo sapiens	GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007399~nervous system development,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,	GO:0005509~calcium ion binding,	IPR002126:Cadherin,IPR013164:Cadherin, N-terminal,IPR015919:Cadherin-like,IPR020894:Cadherin conserved site,				SM00112:CA,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,		KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Cadherin,DOMAIN:Cadherin 1,DOMAIN:Cadherin 2,DOMAIN:Cadherin 3,DOMAIN:Cadherin 4,DOMAIN:Cadherin 5,DOMAIN:Cadherin 6,REGION:5 X 4 AA repeats of P-X-X-P,REGION:Disordered,REPEAT:PXXP 1,REPEAT:PXXP 2,REPEAT:PXXP 3,REPEAT:PXXP 4,REPEAT:PXXP 5,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
PCDHGA1	protocadherin gamma subfamily A, 1(PCDHGA1)	Homo sapiens	GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007399~nervous system development,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,	GO:0005509~calcium ion binding,	IPR002126:Cadherin,IPR013164:Cadherin, N-terminal,IPR015919:Cadherin-like,IPR020894:Cadherin conserved site,				SM00112:CA,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,		KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:Cadherin 1,DOMAIN:Cadherin 2,DOMAIN:Cadherin 3,DOMAIN:Cadherin 4,DOMAIN:Cadherin 5,DOMAIN:Cadherin 6,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
PCDHGA11	protocadherin gamma subfamily A, 11(PCDHGA11)	Homo sapiens	GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007399~nervous system development,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,	GO:0005509~calcium ion binding,	IPR002126:Cadherin,IPR013164:Cadherin, N-terminal,IPR015919:Cadherin-like,IPR020894:Cadherin conserved site,				SM00112:CA,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,		KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Cadherin 1,DOMAIN:Cadherin 2,DOMAIN:Cadherin 3,DOMAIN:Cadherin 4,DOMAIN:Cadherin 5,DOMAIN:Cadherin 6,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
PCDHGA12	protocadherin gamma subfamily A, 12(PCDHGA12)	Homo sapiens	GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007399~nervous system development,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005911~cell-cell junction,	GO:0005509~calcium ion binding,	IPR002126:Cadherin,IPR013164:Cadherin, N-terminal,IPR015919:Cadherin-like,IPR020894:Cadherin conserved site,				SM00112:CA,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,		KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:Cadherin 1,DOMAIN:Cadherin 2,DOMAIN:Cadherin 3,DOMAIN:Cadherin 4,DOMAIN:Cadherin 5,DOMAIN:Cadherin 6,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
PCDHGB7	protocadherin gamma subfamily B, 7(PCDHGB7)	Homo sapiens	GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007399~nervous system development,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,	GO:0005509~calcium ion binding,	IPR002126:Cadherin,IPR013164:Cadherin, N-terminal,IPR015919:Cadherin-like,IPR020894:Cadherin conserved site,				SM00112:CA,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,		KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:Cadherin 1,DOMAIN:Cadherin 2,DOMAIN:Cadherin 3,DOMAIN:Cadherin 4,DOMAIN:Cadherin 5,DOMAIN:Cadherin 6,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
PSORS1C1	psoriasis susceptibility 1 candidate 1(PSORS1C1)	Homo sapiens																COMPBIAS:Polar residues,REGION:Disordered,
RHOD	ras homolog family member D(RHOD)	Homo sapiens	GO:0007015~actin filament organization,GO:0007163~establishment or maintenance of cell polarity,GO:0007266~Rho protein signal transduction,GO:0008360~regulation of cell shape,GO:0016477~cell migration,GO:0030032~lamellipodium assembly,GO:0030335~positive regulation of cell migration,GO:0030865~cortical cytoskeleton organization,GO:0032956~regulation of actin cytoskeleton organization,GO:0045785~positive regulation of cell adhesion,GO:0048041~focal adhesion assembly,GO:0050790~regulation of catalytic activity,GO:0051017~actin filament bundle assembly,GO:0051056~regulation of small GTPase mediated signal transduction,	GO:0000139~Golgi membrane,GO:0005741~mitochondrial outer membrane,GO:0005769~early endosome,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0005938~cell cortex,GO:0010008~endosome membrane,GO:0031410~cytoplasmic vesicle,GO:0042995~cell projection,GO:0043231~intracellular membrane-bounded organelle,	GO:0003924~GTPase activity,GO:0005085~guanyl-nucleotide exchange factor activity,GO:0005525~GTP binding,GO:0019901~protein kinase binding,	IPR001806:Small GTPase superfamily,IPR003578:Small GTPase superfamily, Rho type,IPR005225:Small GTP-binding protein domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa04360:Axon guidance,					KW-0472~Membrane,KW-0967~Endosome,KW-1003~Cell membrane,			KW-0342~GTP-binding,KW-0547~Nucleotide-binding,		KW-0449~Lipoprotein,KW-0488~Methylation,KW-0636~Prenylation,	LIPID:S-geranylgeranyl cysteine,MOTIF:Effector region,MUTAGEN:C->S: Abolishes endosomal localization.,PROPEP:Removed in mature form,
RHOJ	ras homolog family member J(RHOJ)	Homo sapiens	GO:0001525~angiogenesis,GO:0006897~endocytosis,GO:0007163~establishment or maintenance of cell polarity,GO:0007264~small GTPase mediated signal transduction,GO:0007266~Rho protein signal transduction,GO:0008360~regulation of cell shape,GO:0010594~regulation of endothelial cell migration,GO:0016477~cell migration,GO:0030031~cell projection assembly,GO:0030036~actin cytoskeleton organization,GO:0032488~Cdc42 protein signal transduction,GO:0061299~retina vasculature morphogenesis in camera-type eye,GO:0090050~positive regulation of cell migration involved in sprouting angiogenesis,GO:1903670~regulation of sprouting angiogenesis,	GO:0005886~plasma membrane,GO:0070062~extracellular exosome,	GO:0003924~GTPase activity,GO:0005515~protein binding,GO:0005525~GTP binding,	IPR001806:Small GTPase superfamily,IPR003578:Small GTPase superfamily, Rho type,IPR005225:Small GTP-binding protein domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa05132:Salmonella infection,				KW-0037~Angiogenesis,	KW-0472~Membrane,KW-1003~Cell membrane,			KW-0342~GTP-binding,KW-0547~Nucleotide-binding,		KW-0449~Lipoprotein,KW-0488~Methylation,KW-0564~Palmitate,KW-0636~Prenylation,	LIPID:S-farnesyl cysteine,LIPID:S-palmitoyl cysteine,MOTIF:Effector region,MUTAGEN:C->A: Impaired localization to the plasma membrane.,MUTAGEN:DE->AA: Does not affect localization to the plasma membrane.,MUTAGEN:DEKK->AAAA: Impaired localization to the plasma membrane.,MUTAGEN:G->V: Causes constitutive activation.,MUTAGEN:KK->AA: Impaired localization to the plasma membrane.,MUTAGEN:Q->L: Causes constitutive activation.,MUTAGEN:T->N: Dominant negative mutant.,PROPEP:Removed in mature form,REGION:Disordered,
RAMP3	receptor activity modifying protein 3(RAMP3)	Homo sapiens	GO:0001525~angiogenesis,GO:0001921~positive regulation of receptor recycling,GO:0006816~calcium ion transport,GO:0006886~intracellular protein transport,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway,GO:0008277~regulation of G-protein coupled receptor protein signaling pathway,GO:0010628~positive regulation of gene expression,GO:0010739~positive regulation of protein kinase A signaling,GO:0010942~positive regulation of cell death,GO:0015031~protein transport,GO:0031623~receptor internalization,GO:0032870~cellular response to hormone stimulus,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0038041~cross-receptor inhibition within G-protein coupled receptor heterodimer,GO:0051897~positive regulation of protein kinase B signaling,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071392~cellular response to estradiol stimulus,GO:0072659~protein localization to plasma membrane,GO:0086103~G-protein coupled receptor signaling pathway involved in heart process,GO:0097647~amylin receptor signaling pathway,GO:1903078~positive regulation of protein localization to plasma membrane,GO:1904645~response to beta-amyloid,GO:1905665~positive regulation of calcium ion import across plasma membrane,GO:1990410~adrenomedullin receptor signaling pathway,	GO:0005764~lysosome,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0043235~receptor complex,GO:1903143~adrenomedullin receptor complex,	GO:0001540~beta-amyloid binding,GO:0001605~adrenomedullin receptor activity,GO:0005515~protein binding,GO:0015026~coreceptor activity,GO:0097643~amylin receptor activity,	IPR006985:Receptor activity modifying protein,	hsa04270:Vascular smooth muscle contraction,				KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0675~Receptor,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
RTP5	receptor transporter protein 5 (putative)(RTP5)	Homo sapiens	GO:0001580~detection of chemical stimulus involved in sensory perception of bitter taste,GO:0006612~protein targeting to membrane,GO:0051205~protein insertion into membrane,	GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0005515~protein binding,GO:0031849~olfactory receptor binding,	IPR026096:Receptor-transporting protein/CXXC-type zinc finger protein 11,IPR026689:CXXC-type zinc finger protein 11,IPR027377:Zinc-binding domain,				SM01328:SM01328,		KW-0472~Membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,
RIMS1	regulating synaptic membrane exocytosis 1(RIMS1)	Homo sapiens	GO:0006886~intracellular protein transport,GO:0006887~exocytosis,GO:0007601~visual perception,GO:0010628~positive regulation of gene expression,GO:0016079~synaptic vesicle exocytosis,GO:0017156~calcium ion regulated exocytosis,GO:0030154~cell differentiation,GO:0042391~regulation of membrane potential,GO:0045055~regulated exocytosis,GO:0046903~secretion,GO:0046928~regulation of neurotransmitter secretion,GO:0048167~regulation of synaptic plasticity,GO:0048791~calcium ion-regulated exocytosis of neurotransmitter,GO:0050790~regulation of catalytic activity,GO:0050806~positive regulation of synaptic transmission,GO:0050896~response to stimulus,GO:0060478~acrosomal vesicle exocytosis,GO:0061025~membrane fusion,GO:0065003~macromolecular complex assembly,GO:0097151~positive regulation of inhibitory postsynaptic potential,GO:1903861~positive regulation of dendrite extension,GO:2000300~regulation of synaptic vesicle exocytosis,GO:2000463~positive regulation of excitatory postsynaptic potential,	GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0042734~presynaptic membrane,GO:0042995~cell projection,GO:0048786~presynaptic active zone,GO:0048788~cytoskeleton of presynaptic active zone,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0030695~GTPase regulator activity,GO:0031267~small GTPase binding,GO:0044325~ion channel binding,GO:0046872~metal ion binding,	IPR000008:C2 calcium-dependent membrane targeting,IPR001478:PDZ domain,IPR010911:Rab-binding domain,IPR011011:Zinc finger, FYVE/PHD-type,IPR017455:Zinc finger, FYVE-related,	hsa04721:Synaptic vesicle cycle,hsa04723:Retrograde endocannabinoid signaling,	603649~Cone-rod dystrophy 7,		SM00228:PDZ,SM00239:C2,	KW-0221~Differentiation,KW-0268~Exocytosis,KW-0532~Neurotransmitter transport,KW-0716~Sensory transduction,KW-0813~Transport,KW-0844~Vision,	KW-0472~Membrane,KW-0770~Synapse,KW-0966~Cell projection,KW-1003~Cell membrane,	KW-0182~Cone-rod dystrophy,KW-0225~Disease variant,	KW-0677~Repeat,KW-0732~Signal,KW-0863~Zinc-finger,	KW-0479~Metal-binding,KW-0862~Zinc,		KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:C2,DOMAIN:C2 1,DOMAIN:C2 2,DOMAIN:PDZ,DOMAIN:RabBD,MUTAGEN:KK->AA: Abolishes interaction with SYT1 and CACNA1B.,MUTAGEN:RR->AA: Abolishes interaction with SYT1 and CACNA1B.,REGION:Disordered,ZN_FING:FYVE-type,
RIMS3	regulating synaptic membrane exocytosis 3(RIMS3)	Homo sapiens	GO:0006887~exocytosis,GO:0017156~calcium ion regulated exocytosis,GO:0042391~regulation of membrane potential,GO:0048167~regulation of synaptic plasticity,GO:0048791~calcium ion-regulated exocytosis of neurotransmitter,GO:0050806~positive regulation of synaptic transmission,GO:2000300~regulation of synaptic vesicle exocytosis,	GO:0016020~membrane,GO:0042734~presynaptic membrane,GO:0048786~presynaptic active zone,GO:0048788~cytoskeleton of presynaptic active zone,	GO:0005515~protein binding,GO:0031267~small GTPase binding,GO:0044325~ion channel binding,	IPR000008:C2 calcium-dependent membrane targeting,				SM00239:C2,	KW-0268~Exocytosis,KW-0532~Neurotransmitter transport,KW-0813~Transport,	KW-0770~Synapse,					KW-0597~Phosphoprotein,	COMPBIAS:Polar residues,DOMAIN:C2,REGION:Disordered,
RGS16	regulator of G protein signaling 16(RGS16)	Homo sapiens	GO:0007186~G-protein coupled receptor signaling pathway,GO:0007601~visual perception,GO:0008277~regulation of G-protein coupled receptor protein signaling pathway,GO:0009968~negative regulation of signal transduction,GO:0043547~positive regulation of GTPase activity,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0031224~intrinsic component of membrane,	GO:0003924~GTPase activity,GO:0005096~GTPase activator activity,GO:0005515~protein binding,GO:0005516~calmodulin binding,	IPR016137:Regulator of G protein signalling superfamily,IPR024066:Regulator of G-protein signaling, domain 1,				SM00315:RGS,		KW-0472~Membrane,				KW-0343~GTPase activation,KW-0734~Signal transduction inhibitor,	KW-0449~Lipoprotein,KW-0564~Palmitate,KW-0597~Phosphoprotein,	DOMAIN:RGS,LIPID:S-palmitoyl cysteine,MUTAGEN:Y->F: 30% decrease in GAP activity.,MUTAGEN:Y->F: No effect on GAP activity.,
RGS7BP	regulator of G protein signaling 7 binding protein(RGS7BP)	Homo sapiens	GO:0007186~G-protein coupled receptor signaling pathway,GO:0009968~negative regulation of signal transduction,GO:0060078~regulation of postsynaptic membrane potential,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0030424~axon,GO:0042734~presynaptic membrane,GO:0043005~neuron projection,GO:0043198~dendritic shaft,GO:0043204~perikaryon,GO:0044327~dendritic spine head,GO:0098794~postsynapse,GO:0098839~postsynaptic density membrane,GO:0098978~glutamatergic synapse,GO:0099026~anchored component of presynaptic membrane,GO:0099031~anchored component of postsynaptic density membrane,		IPR026512:RGS7BP/RGS9BP family,						KW-0472~Membrane,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-1003~Cell membrane,				KW-0734~Signal transduction inhibitor,	KW-0449~Lipoprotein,KW-0564~Palmitate,	COMPBIAS:Polar residues,LIPID:S-palmitoyl cysteine,MOTIF:Nuclear localization signal,REGION:Disordered,
RXFP1	relaxin family peptide receptor 1(RXFP1)	Homo sapiens	GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway,GO:0007190~activation of adenylate cyclase activity,GO:0007567~parturition,GO:0009755~hormone-mediated signaling pathway,GO:0030154~cell differentiation,GO:0030198~extracellular matrix organization,GO:0036446~myofibroblast differentiation,GO:0060427~lung connective tissue development,GO:0060658~nipple morphogenesis,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,	GO:0004930~G-protein coupled receptor activity,GO:0005515~protein binding,GO:0008528~G-protein coupled peptide receptor activity,GO:0042562~hormone binding,GO:0046872~metal ion binding,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR001611:Leucine-rich repeat,IPR002172:Low-density lipoprotein (LDL) receptor class A repeat,IPR003591:Leucine-rich repeat, typical subtype,IPR008112:Relaxin receptor,IPR017452:GPCR, rhodopsin-like, 7TM,IPR023415:Low-density lipoprotein (LDL) receptor class A, conserved site,	hsa04080:Neuroactive ligand-receptor interaction,hsa04926:Relaxin signaling pathway,			SM00192:LDLa,SM00369:LRR_TYP,		KW-0472~Membrane,KW-1003~Cell membrane,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,KW-0479~Metal-binding,	KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:G_PROTEIN_RECEP_F1_2,DOMAIN:LDL-receptor class A,DOMAIN:LRRNT,MUTAGEN:D->Y: Leads to constitutive increase of basal cAMP.,REPEAT:LRR 1,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
RPRML	reprimo like(RPRML)	Homo sapiens		GO:0016020~membrane,GO:0016021~integral component of membrane,								KW-0472~Membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0597~Phosphoprotein,	TRANSMEM:Helical,
